arrival_rate,service_rate,num_servers,traffic_intensity,avg_wait_time,avg_queue_length,throughput,utilization
2.0629,2.9699,4,0.1737,0.0001,0.0,2.066,0.1737
0.5943,1.1004,2,0.27,0.0575,0.0476,0.588,0.27
2.158,4.2714,5,0.101,0.0,0.0,2.18,0.101
2.7224,1.0159,2,1.3399,59.555,154.7025,2.064,0.9999
1.6259,4.1715,3,0.1299,0.0003,0.0,1.612,0.1299
3.7313,4.8349,3,0.2572,0.0066,0.0293,3.746,0.2572
1.9455,4.6117,5,0.0844,0.0,0.0,1.802,0.0844
1.922,4.2664,5,0.0901,0.0,0.0,1.93,0.0901
3.9785,2.4494,3,0.5414,0.0543,0.2244,3.948,0.5414
2.5209,2.8345,5,0.1779,0.0004,0.0008,2.496,0.1779
1.4135,1.0673,4,0.3311,0.009,0.0081,1.482,0.3311
3.5068,2.742,3,0.4263,0.0325,0.1138,3.408,0.4263
2.8074,2.511,3,0.3727,0.0392,0.1217,2.794,0.3727
1.2956,4.6083,2,0.1406,0.0072,0.0198,1.31,0.1406
2.141,3.1649,1,0.6765,0.5741,1.3333,2.066,0.6765
1.7504,1.8851,1,0.9285,2.8254,4.4905,1.68,0.9285
2.6103,1.1289,5,0.4625,0.0363,0.0913,2.602,0.4625
3.4211,3.4623,2,0.4941,0.0928,0.288,3.348,0.4941
3.9533,3.9213,1,1.0082,18.665,70.3335,3.662,0.9999
0.6284,1.6438,1,0.3823,0.334,0.1493,0.67,0.3823
1.2568,4.992,3,0.0839,0.0003,0.0,1.31,0.0839
2.665,4.9353,2,0.27,0.0168,0.0492,2.726,0.27
3.8457,4.2222,2,0.4554,0.0644,0.2473,4.012,0.4554
0.9664,1.4977,5,0.1291,0.0,0.0,0.948,0.1291
2.9126,3.9521,1,0.737,0.8195,2.5416,2.954,0.737
3.4689,2.595,4,0.3342,0.0079,0.0205,3.418,0.3342
1.3141,4.7702,1,0.2755,0.0767,0.1018,1.356,0.2755
0.9545,2.4542,2,0.1945,0.0108,0.0083,0.958,0.1945
1.6682,4.1147,5,0.0811,0.0,0.0,1.634,0.0811
1.2144,2.0307,1,0.598,0.7738,0.9168,1.224,0.598
0.9864,1.1426,1,0.8633,3.3552,3.377,0.976,0.8633
1.8329,1.5618,3,0.3912,0.0559,0.1216,1.974,0.3912
3.999,3.9538,1,1.0114,20.9786,88.4297,3.718,0.9999
1.4366,4.519,4,0.0795,0.0,0.0,1.472,0.0795
2.2492,4.6343,4,0.1213,0.0,0.0,2.168,0.1213
0.7413,2.9286,3,0.0844,0.0,0.0,0.648,0.0844
3.4313,1.5811,2,1.0851,5.2656,19.4646,3.104,0.9999
2.8135,2.7691,3,0.3387,0.0094,0.0186,2.906,0.3387
3.8658,4.1637,1,0.9285,1.7188,6.0551,3.666,0.9285
1.7405,1.7009,5,0.2047,0.001,0.0011,1.844,0.2047
0.8535,1.5361,3,0.1852,0.0171,0.0227,0.794,0.1852
2.0865,4.902,5,0.0851,0.0,0.0,2.022,0.0851
1.266,1.7271,1,0.733,1.0667,1.0792,1.212,0.733
2.3413,2.2906,5,0.2044,0.0001,0.0,2.276,0.2044
1.0242,2.2137,3,0.1542,0.0012,0.0,1.0,0.1542
2.9466,1.3088,4,0.5628,0.0566,0.1507,2.74,0.5628
3.1907,2.3032,4,0.3463,0.0164,0.0505,3.362,0.3463
1.3213,1.0151,4,0.3254,0.0218,0.0251,1.356,0.3254
1.9681,1.6866,5,0.2334,0.003,0.0083,1.92,0.2334
1.3763,2.0393,1,0.6749,0.8551,1.0968,1.302,0.6749
2.1136,4.7211,4,0.1119,0.0,0.0,2.054,0.1119
1.1532,2.0089,5,0.1148,0.0,0.0,1.162,0.1148
2.2999,2.3048,3,0.3326,0.0209,0.0491,2.364,0.3326
3.7432,1.344,4,0.6963,0.302,1.1241,3.69,0.6963
2.2447,4.3488,1,0.5162,0.3612,0.8505,2.22,0.5162
2.688,4.2723,1,0.6292,0.3745,0.9963,2.668,0.6292
0.9238,2.342,5,0.0789,0.0,0.0,0.87,0.0789
1.4372,1.8451,2,0.3895,0.1199,0.1895,1.53,0.3895
1.4078,2.3543,5,0.1196,0.0,0.0,1.4,0.1196
2.9605,3.2264,4,0.2294,0.001,0.0021,2.872,0.2294
3.9075,4.7723,4,0.2047,0.0004,0.0016,3.866,0.2047
3.9275,4.839,2,0.4058,0.0427,0.1653,4.014,0.4058
2.4889,2.4911,3,0.333,0.0164,0.0349,2.464,0.333
3.6918,1.6698,3,0.737,0.4454,1.7173,3.762,0.737
3.4048,2.1252,1,1.6021,84.106,295.5003,2.162,0.9999
1.241,4.4134,4,0.0703,0.0,0.0,1.258,0.0703
1.2853,3.8997,5,0.0659,0.0,0.0,1.316,0.0659
1.4608,4.581,1,0.3189,0.1049,0.1523,1.386,0.3189
1.1352,1.7239,3,0.2195,0.0074,0.0055,1.096,0.2195
2.5567,4.1869,4,0.1527,0.0,0.0,2.662,0.1527
1.3433,2.4693,1,0.544,0.562,0.7061,1.358,0.544
3.9264,2.802,5,0.2803,0.0024,0.0082,3.922,0.2803
0.5947,1.9946,1,0.2982,0.2782,0.1719,0.64,0.2982
2.8448,2.1628,1,1.3153,65.6334,178.5513,2.192,0.9999
2.647,3.1327,5,0.169,0.0005,0.0015,2.68,0.169
3.8899,2.565,5,0.3033,0.0004,0.0,3.742,0.3033
3.2734,1.5989,1,2.0473,134.3261,426.9162,1.602,0.9999
3.7082,4.7064,4,0.197,0.0005,0.0011,3.716,0.197
2.0108,4.0566,1,0.4957,0.2094,0.3945,2.026,0.4957
2.0492,2.8711,4,0.1784,0.0009,0.001,2.076,0.1784
1.4851,4.5429,4,0.0817,0.0001,0.0,1.434,0.0817
3.0881,2.4318,4,0.3175,0.0061,0.0186,3.0,0.3175
1.6939,2.4456,1,0.6926,0.7518,1.3043,1.63,0.6926
2.8044,3.4958,4,0.2006,0.0008,0.0007,2.918,0.2006
3.7919,2.7116,2,0.6992,0.2739,1.0615,3.87,0.6992
0.8419,2.3946,3,0.1172,0.0,0.0,0.936,0.1172
1.1614,3.3342,4,0.0871,0.0,0.0,1.216,0.0871
2.4865,1.5879,5,0.3132,0.0015,0.0016,2.53,0.3132
1.1217,4.2624,4,0.0658,0.0,0.0,1.122,0.0658
1.71,3.988,3,0.1429,0.0008,0.0,1.742,0.1429
3.1909,1.7716,3,0.6004,0.134,0.413,3.148,0.6004
1.1112,1.7893,3,0.207,0.0039,0.0018,1.104,0.207
3.8519,1.4489,3,0.8862,1.7072,6.4315,3.772,0.8862
2.4858,4.3549,5,0.1142,0.0,0.0,2.422,0.1142
